flight_loc_state_id,holding_id,country_id,state_id
5558,504238,1,5
20342,503231,1,5
7495,504184,1,5
19488,502453,1,5
18321,503152,1,5
17735,503153,1,5
6380,503154,1,5
16854,502412,1,5
17766,502408,1,5
6782,502609,1,5
11747,502727,1,5
20006,502221,1,5
18850,502071,1,5
18849,502072,1,5
10935,502793,1,5
7679,502630,1,5
18896,502248,1,5
398,502043,1,5
4981,502169,1,5
17916,503431,1,5
6721,502477,1,5
17534,505997,1,5
403,502244,1,5
404,502245,1,5
405,502026,1,5
15944,502422,1,5
4702,502809,1,5
20504,503375,1,5
7294,503896,1,5
410,502014,1,5
19027,502084,1,5
6762,502587,1,5
413,502008,1,5
6392,504129,1,5
5042,502059,1,5
18928,502041,1,5
18918,502284,1,5
418,502242,1,5
18106,502426,1,5
20399,503325,1,5
7779,502579,1,5
19016,502025,1,5
6770,502595,1,5
20501,503378,1,5
425,502709,1,5
426,502705,1,5
20505,502780,1,5
20362,503247,1,5
20369,503250,1,5
18976,502103,1,5
18977,502104,1,5
18910,502250,1,5
19010,506511,1,5
434,502254,1,5
435,502145,1,5
436,502146,1,5
19564,502407,1,5
7103,503290,1,5
17912,503345,1,5
16723,503562,1,5
6585,502712,1,5
442,502257,1,5
5758,502379,1,5
12241,502309,1,5
445,502021,1,5
446,502022,1,5
5127,502023,1,5
18915,502261,1,5
18894,502227,1,5
10194,502425,1,5
451,502278,1,5
6131,502588,1,5
7331,503930,1,5
11630,504051,1,5
6317,502798,1,5
456,502707,1,5
19164,502815,1,5
458,502113,1,5
19035,502114,1,5
5003,502115,1,5
461,502256,1,5
5040,502061,1,5
15612,503792,1,5
7713,502540,1,5
465,502541,1,5
6077,502542,1,5
467,502083,1,5
3996,502199,1,5
469,502200,1,5
470,502201,1,5
18963,502406,1,5
20211,502411,1,5
19026,502081,1,5
474,502180,1,5
475,502183,1,5
476,502017,1,5
477,502024,1,5
18946,502086,1,5
5015,502091,1,5
5014,502092,1,5
18978,502105,1,5
18979,502106,1,5
18980,502107,1,5
18981,502108,1,5
18932,502054,1,5
17142,502418,1,5
17050,502415,1,5
488,502095,1,5
6780,502607,1,5
490,502249,1,5
18939,502067,1,5
11833,502810,1,5
6198,502814,1,5
5898,502474,1,5
6765,502592,1,5
5128,502019,1,5
3870,502020,1,5
4446,502703,1,5
4448,502704,1,5
4301,504417,1,5
5045,502050,1,5
4441,502691,1,5
503,502642,1,5
504,502228,1,5
505,502229,1,5
19012,502270,1,5
507,502271,1,5
4006,502277,1,5
18982,502109,1,5
18917,502282,1,5
4983,502167,1,5
512,502179,1,5
18857,502110,1,5
18983,502111,1,5
515,502118,1,5
19036,502121,1,5
17009,502657,1,5
518,502007,1,5
3743,502002,1,5
5130,502015,1,5
521,502016,1,5
5129,502018,1,5
9835,503914,1,5
7314,503916,1,5
11835,503938,1,5
11554,504419,1,5
527,504420,1,5
11998,502356,1,5
16054,502357,1,5
19542,503471,1,5
16452,503472,1,5
532,502684,1,5
533,502690,1,5
4980,502170,1,5
4979,502171,1,5
4978,502172,1,5
18886,503780,1,5
16065,503781,1,5
539,502147,1,5
18934,502057,1,5
7692,502058,1,5
19018,502044,1,5
543,502097,1,5
544,502098,1,5
545,502099,1,5
546,502100,1,5
7691,503972,1,5
7353,503981,1,5
20408,504012,1,5
19909,504002,1,5
11726,504025,1,5
7419,504038,1,5
553,504045,1,5
554,504061,1,5
555,504063,1,5
19006,504064,1,5
557,504065,1,5
18919,504066,1,5
19132,504285,1,5
11565,504405,1,5
11605,504392,1,5
17636,504348,1,5
4300,504412,1,5
11542,504427,1,5
11526,504430,1,5
566,504432,1,5
8458,504431,1,5
568,504436,1,5
4432,502670,1,5
4433,502671,1,5
7676,504448,1,5
572,504447,1,5
4311,504446,1,5
11624,504472,1,5
11476,504475,1,5
6129,504488,1,5
19357,504532,1,5
15960,504529,1,5
579,502673,1,5
580,502674,1,5
581,504571,1,5
19603,504601,1,5
16491,504621,1,5
9526,506990,1,5
21161,504628,1,5
586,504623,1,5
587,504632,1,5
7370,504630,1,5
6351,504631,1,5
21243,504625,1,5
591,504626,1,5
11939,504645,1,5
593,504643,1,5
4438,504644,1,5
595,504646,1,5
17593,504634,1,5
6196,504636,1,5
598,504650,1,5
599,504651,1,5
600,504652,1,5
601,504653,1,5
602,504649,1,5
603,504654,1,5
604,504659,1,5
605,504660,1,5
606,504661,1,5
607,504662,1,5
3685,505292,1,5
4521,505447,1,5
17362,505506,1,5
13801,505723,1,5
6047,505773,1,5
613,506220,1,5
20254,506222,1,5
20255,506225,1,5
19081,506226,1,5
18984,506230,1,5
18985,506231,1,5
18986,506232,1,5
11886,506276,1,5
4664,506346,1,5
622,506353,1,5
7680,506355,1,5
7641,506387,1,5
6479,506390,1,5
7688,506410,1,5
17729,506430,1,5
9659,506445,1,5
11937,506446,1,5
16549,506455,1,5
9686,506459,1,5
16614,506460,1,5
16629,506466,1,5
16637,506468,1,5
17175,506478,1,5
16815,506479,1,5
16862,506481,1,5
16858,506482,1,5
9792,506499,1,5
6079,506523,1,5
15952,506524,1,5
9833,506527,1,5
9848,506539,1,5
9908,506540,1,5
18085,506545,1,5
9857,506550,1,5
9861,506552,1,5
9912,506565,1,5
9918,506573,1,5
9923,506579,1,5
10203,506584,1,5
18735,506587,1,5
18737,506595,1,5
9948,506599,1,5
9950,506601,1,5
18738,506604,1,5
9957,506606,1,5
9969,506618,1,5
15327,506626,1,5
9983,506635,1,5
10206,506637,1,5
10207,506638,1,5
15331,506641,1,5
664,506660,1,5
18744,506664,1,5
18746,506670,1,5
16434,506676,1,5
18749,506682,1,5
18751,506686,1,5
19513,506702,1,5
10151,506709,1,5
20518,506721,1,5
15408,506725,1,5
20565,506726,1,5
20769,506732,1,5
18950,506736,1,3
13592,506746,1,5
17963,506750,1,5
7781,506769,1,5
680,506771,1,5
681,506774,1,5
682,506775,1,5
683,506793,1,5
11784,506817,1,5
11815,506834,1,5
19592,502498,1,5
19816,502479,1,5
5099,503855,1,5
6844,502300,1,5
20981,502299,1,5
19342,502516,1,5
5765,503032,1,5
7250,503568,1,5
694,503866,1,5
5933,502510,1,5
19204,503110,1,5
20300,503164,1,5
19112,504198,1,5
13088,502387,1,5
5763,504220,1,5
701,503870,1,5
7615,502654,1,5
16019,506442,1,5
10154,506707,1,5
9996,506663,1,5
15636,502726,1,5
19344,502570,1,5
19320,502517,1,5
19813,502316,1,5
19211,502472,1,5
19274,502317,1,5
19709,502318,1,5
19148,502518,1,5
11539,504415,1,5
6828,504552,1,5
19448,504310,1,5
11436,506803,1,5
6847,502297,1,5
5091,502295,1,5
5092,502296,1,5
21244,504391,1,5
21245,504409,1,5
19532,502556,1,5
19660,502555,1,5
11480,504450,1,5
4194,504375,1,5
727,504470,1,5
20205,504674,1,5
21026,504675,1,5
17051,506495,1,5
18743,506662,1,5
20359,503244,1,5
6807,502329,1,5
5611,502339,1,5
11595,504398,1,5
11594,504399,1,5
11600,504400,1,5
11171,504553,1,5
11599,504401,1,5
11593,504397,1,5
11598,504396,1,5
5289,504583,1,5
4694,504629,1,5
744,506392,1,5
9875,506559,1,5
11802,506826,1,5
11798,506828,1,5
6116,502573,1,5
13308,502343,1,5
750,503490,1,5
4560,503496,1,5
11736,504019,1,5
7361,504103,1,5
754,504574,1,5
19710,504600,1,5
4666,506357,1,5
6486,506371,1,5
19390,506408,1,5
9849,506542,1,5
9850,506543,1,5
9954,506603,1,5
18767,506609,1,5
10017,506680,1,5
11825,506837,1,5
19090,504189,1,5
19089,504070,1,5
7275,503647,1,5
6917,504252,1,5
7115,503449,1,5
12244,502325,1,5
7322,503921,1,5
772,503858,1,5
7717,504121,1,5
6785,502611,1,5
6820,502322,1,5
6822,502321,1,5
20512,502323,1,5
6816,502324,1,5
779,504293,1,5
6813,502326,1,5
7363,504098,1,5
6526,502655,1,5
20738,503974,1,5
7759,503976,1,5
7346,504000,1,5
7355,504003,1,5
787,504004,1,5
7356,504005,1,5
7357,504006,1,5
11723,504013,1,5
11687,504054,1,5
20412,504067,1,5
793,504074,1,5
794,504093,1,5
6901,504263,1,5
796,504266,1,5
5281,504533,1,5
6798,504534,1,5
6806,505651,1,5
15587,505754,1,5
8717,505769,1,5
6374,505774,1,5
6992,505854,1,5
804,506312,1,5
7657,506367,1,5
806,506396,1,5
807,506416,1,5
6464,506425,1,5
16880,506486,1,5
9896,506487,1,5
16887,506488,1,5
9924,506578,1,5
9995,506661,1,5
10027,506690,1,5
19059,506719,1,5
6827,502319,1,5
817,504425,1,5
6169,502614,1,5
20775,502557,1,5
19585,502558,1,5
18926,502039,1,5
18923,502035,1,5
5008,502102,1,5
5757,502378,1,5
18925,502037,1,5
18927,502038,1,5
18924,502036,1,5
11621,504384,1,5
6745,504388,1,5
11616,504389,1,5
11568,504393,1,5
9966,506615,1,5
6775,503147,1,5
19705,502388,1,5
7263,503558,1,5
7264,503559,1,5
17176,503026,1,5
20302,503184,1,5
9550,503166,1,5
20312,503168,1,5
20316,503169,1,5
6966,504247,1,5
20304,503207,1,5
9407,504008,1,5
20343,503180,1,5
20346,503181,1,5
20383,503271,1,5
6406,504190,1,5
6407,504191,1,5
18604,503574,1,5
10926,503738,1,5
852,504211,1,5
18817,503798,1,5
854,503330,1,5
6971,504217,1,5
6972,504216,1,5
15794,503106,1,5
20370,503251,1,5
20332,503223,1,5
20337,503226,1,5
20352,503239,1,5
20355,503240,1,5
17803,503103,1,5
20395,503316,1,5
19534,504595,1,5
866,504248,1,5
18882,503631,1,5
18872,503632,1,5
869,503287,1,5
18900,503677,1,5
17756,503678,1,5
5298,503679,1,5
18899,503566,1,5
20022,503334,1,5
7262,503557,1,5
876,503372,1,5
6930,503649,1,5
17757,503736,1,5
17609,503633,1,5
7097,504229,1,5
881,504179,1,5
9446,503606,1,5
18800,503609,1,5
10927,503682,1,5
5310,503683,1,5
7283,503811,1,5
10924,503802,1,5
18871,503803,1,5
6453,504174,1,5
6454,504173,1,5
18777,503690,1,5
5320,503691,1,5
18795,503692,1,5
7538,503570,1,5
18517,503572,1,5
6452,504175,1,5
5328,503551,1,5
5329,503552,1,5
18897,503554,1,5
18887,503799,1,5
18873,503800,1,5
902,504011,1,5
6977,504212,1,5
5134,502813,1,5
17908,503465,1,5
20371,503253,1,5
18628,503739,1,5
7119,503486,1,5
7330,503933,1,5
17596,503285,1,5
6459,504168,1,5
20374,503260,1,5
20375,503261,1,5
21261,502451,1,5
20336,503228,1,5
916,504177,1,5
917,504135,1,5
18611,503684,1,5
18623,503685,1,5
5314,503686,1,5
5316,503687,1,5
18640,503688,1,5
18671,503689,1,5
6968,504245,1,5
6449,504181,1,5
4394,503610,1,5
5327,503611,1,5
18813,503612,1,5
7795,503616,1,5
18832,503617,1,5
4395,503620,1,5
6979,504209,1,5
20392,503315,1,5
7304,503854,1,5
6950,503885,1,5
11692,504117,1,5
17184,502717,1,5
20319,503173,1,5
20320,503175,1,5
940,503279,1,5
6594,503539,1,5
8588,503657,1,5
4582,503674,1,5
19114,504228,1,5
20382,503267,1,5
20326,503218,1,5
20328,503219,1,5
7121,503534,1,5
18801,503624,1,5
7794,503626,1,5
19322,503628,1,5
8582,503337,1,5
7123,503479,1,5
13059,503563,1,5
9334,503549,1,5
7106,503414,1,5
10258,502436,1,5
18605,503737,1,5
6389,504131,1,5
6455,504172,1,5
6456,504171,1,5
16064,503203,1,5
5343,503801,1,5
5301,503680,1,5
18516,503681,1,5
20315,503202,1,5
6954,503897,1,5
7302,503898,1,5
969,503867,1,5
7323,503922,1,5
7324,503923,1,5
20388,503276,1,5
20390,503277,1,5
974,503498,1,5
6447,504164,1,5
19091,504193,1,5
18902,503693,1,5
5332,503694,1,5
15467,503695,1,5
19226,503575,1,5
20377,503262,1,5
982,503585,1,5
17262,504199,1,5
19106,504197,1,5
6457,504170,1,5
7306,503868,1,5
6445,504166,1,5
988,503497,1,5
18599,503573,1,5
20331,503222,1,5
20378,503263,1,5
20379,503264,1,5
20381,503265,1,5
6381,504140,1,5
7272,503642,1,5
20391,503278,1,5
997,503331,1,5
20330,503221,1,5
6458,504169,1,5
