flight_loc_county_id,holding_id,country_id,state_id,county_id
23141,507528,1,33,1893
35300,507529,1,5,221
23140,507530,1,5,203
23160,507532,1,5,203
34915,507533,1,5,203
34818,507534,1,5,203
34820,507535,1,5,203
34821,507536,1,5,203
34822,507537,1,5,203
34823,507538,1,5,203
34824,507539,1,5,203
25154,507540,1,5,203
34828,507541,1,5,220
34830,507542,1,5,203
25109,507543,1,5,203
34831,507544,1,5,240
34832,507545,1,5,214
34833,507546,1,5,203
34840,507547,1,44,2803
34841,507548,1,5,226
24801,507549,1,5,240
34842,507550,1,5,203
34844,507551,1,5,203
34845,507552,1,5,203
34934,507553,1,5,199
23242,507554,1,42,2516
23241,507554,1,42,2512
23240,507554,1,42,2504
23239,507554,1,42,2471
23238,507554,1,42,2458
23237,507554,1,42,2456
23236,507554,1,42,2441
23235,507554,1,42,2436
23234,507554,1,33,1988
23233,507554,1,33,1949
23232,507554,1,33,1945
23231,507554,1,33,1894
23303,507555,1,5,240
23302,507555,1,5,203
34847,507556,1,5,217
34848,507557,1,5,220
34849,507558,1,5,203
23309,507559,1,44,2797
23312,507560,1,5,199
23313,507561,1,5,203
34876,507562,1,5,217
34888,507564,1,5,199
30805,507566,1,5,199
28968,507563,1,5,238
34896,507565,1,5,199
34898,507568,1,5,194
34897,507567,1,5,238
31891,507569,1,37,2229
31890,507569,1,12,563
35530,507570,1,3,108
34901,507571,1,5,203
31894,507572,1,3,103
31893,507572,1,3,101
34936,507573,1,5,217
34938,507574,1,5,217
34939,507575,1,5,220
34954,507576,1,5,203
35154,507577,1,5,197
34956,507578,1,5,199
35152,507579,1,5,220
35202,507580,1,5,199
35153,507581,1,5,211
35228,507583,1,5,221
23426,507584,1,3,106
35213,507585,1,3,97
35215,507586,1,3,101
35214,507586,1,3,104
35231,507587,1,31,1811
35288,507588,1,5,217
35221,507589,1,5,203
35222,507590,1,5,203
28965,507591,1,5,204
28964,507591,1,5,194
32279,507592,1,5,203
27759,507594,1,5,203
35318,507595,1,5,203
35319,507596,1,5,203
35320,507597,1,5,203
35321,507598,1,5,203
26617,507599,1,5,203
26255,507600,1,5,203
28950,507601,1,5,224
31899,507602,1,18,1152
31898,507602,1,18,1146
35575,507603,1,12,566
35574,507603,1,12,559
35573,507603,1,12,564
35572,507603,1,12,555
28972,507604,1,5,228
31579,507605,1,28,1762
31578,507605,1,28,1759
31577,507605,1,28,1753
24916,507606,1,5,228
24915,507606,1,5,211
24589,507607,1,5,219
24917,507608,1,5,203
24329,507609,1,5,228
24328,507610,1,5,211
24217,507612,1,5,214
24216,507613,1,5,214
24215,507614,1,5,185
24214,507615,1,5,185
24213,507616,1,5,206
35323,507618,1,5,229
25163,507619,1,5,203
35337,507620,1,5,214
35338,507621,1,5,224
35357,507622,1,5,224
35363,507623,1,5,220
35362,507623,1,5,203
35367,507624,1,5,240
35368,507625,1,5,220
35372,507626,1,5,220
35380,507627,1,5,203
33446,507628,1,5,214
33488,504373,1,5,220
35541,507666,1,5,236
35400,507635,1,5,203
35392,507632,1,3,105
35397,507633,1,5,217
35398,507634,1,5,203
35402,507636,1,5,232
35401,507636,1,5,218
35420,507637,1,5,225
35421,507638,1,5,203
35439,507640,1,5,203
24288,507641,1,5,226
27499,507642,1,5,203
35442,507643,1,5,228
35519,507644,1,5,232
35455,507645,1,5,227
35454,507645,1,5,225
35456,507646,1,5,203
28503,507647,1,5,226
35518,507648,1,5,203
35520,507649,1,5,199
35521,507650,1,5,221
35532,507651,1,5,208
27935,505692,1,5,240
24014,505693,1,5,226
24020,505364,1,5,224
24018,505365,1,5,240
24019,505317,1,5,224
28037,505450,1,5,226
28036,505449,1,5,226
24041,505876,1,5,197
28035,505875,1,5,226
28034,505874,1,5,240
28033,505873,1,5,211
24049,505872,1,5,226
24051,505871,1,5,226
24059,505868,1,5,224
24062,505867,1,5,240
24061,505867,1,5,226
28032,505866,1,5,226
24068,505865,1,5,240
24070,505862,1,5,226
24073,505861,1,5,214
24075,505860,1,5,226
24076,505858,1,5,226
24124,505801,1,5,194
24079,505859,1,5,240
24082,505358,1,5,226
24084,505360,1,5,240
24085,505359,1,5,226
24127,505480,1,5,240
31736,505479,1,5,226
24117,505478,1,5,194
29645,507654,1,5,221
29666,507652,1,5,221
29556,507653,1,5,218
29644,507655,1,5,221
29340,507656,1,5,217
35534,507659,1,5,224
24175,507660,1,5,221
35535,507661,1,5,203
24317,507662,1,43,2754
24316,507662,1,43,2743
24315,507662,1,43,2543
24187,507663,1,5,224
