id,holding_id,County,Region,Format,Notes,Restrictions,image_name
1514,507191,"SANTA BARBARA","LOMPOC VALLEY",P,NULL,NULL,santa_barbara.jpg
1515,507191,"SANTA BARBARA","SANTA YNEZ VALLEY",P,NULL,NULL,santa_barbara.jpg
1289,506229,"LOS ANGELES","CHANNEL ISLANDS",NULL,NULL,NULL,los_angeles.jpg
1529,507277,RIVERSIDE,"RIVERSIDE/CORONA METROPOLITAN AREAS",NULL,"Pictorial coverage. Imagery stored at Annex 2",NULL,riverside.jpg
196,502411,RIVERSIDE,"RIVERSIDE/CORONA METROPOLITAN AREAS",P,"Partial Coverage",NULL,riverside.jpg
199,502425,RIVERSIDE,"RIVERSIDE/CORONA METROPOLITAN AREAS",NULL,NULL,NULL,riverside.jpg
200,502374,RIVERSIDE,"RIVERSIDE/CORONA METROPOLITAN AREAS",P,NULL,NULL,riverside.jpg
201,502430,RIVERSIDE,"RIVERSIDE/CORONA METROPOLITAN AREAS",NULL,NULL,NULL,riverside.jpg
202,502375,RIVERSIDE,"RIVERSIDE/CORONA METROPOLITAN AREAS",P,NULL,NULL,riverside.jpg
204,502810,RIVERSIDE,"RIVERSIDE/CORONA METROPOLITAN AREAS",NULL,NULL,NULL,riverside.jpg
207,502667,RIVERSIDE,"RIVERSIDE/CORONA METROPOLITAN AREAS",NULL,NULL,NULL,riverside.jpg
208,502668,RIVERSIDE,"RIVERSIDE/CORONA METROPOLITAN AREAS",NULL,NULL,NULL,riverside.jpg
209,502457,"SAN BERNARDINO","SAN BERNARDINO VALLEY AREA",NULL,"San Bernardino and vicinity",NULL,san_bernardino.jpg
1504,506962,"SAN DIEGO","ESCONDIDO & VICINITY",NULL,NULL,NULL,san_diego.jpg
1505,506962,"SAN DIEGO","CENTRAL COAST",NULL,NULL,NULL,san_diego.jpg
1506,506962,"SAN DIEGO","CAMP PENDLETON",NULL,NULL,NULL,san_diego.jpg
212,502369,"SAN BERNARDINO","SAN BERNARDINO VALLEY AREA",P,NULL,NULL,san_bernardino.jpg
215,502370,"SAN BERNARDINO","SAN BERNARDINO VALLEY AREA",P,NULL,NULL,san_bernardino.jpg
219,503156,"SAN BERNARDINO","SAN BERNARDINO VALLEY AREA",P,"Fontana to Yucaipa",NULL,san_bernardino.jpg
220,502371,"SAN BERNARDINO","SAN BERNARDINO VALLEY AREA",P,"Rialto to Yucaipa",NULL,san_bernardino.jpg
1509,502667,KERN,"BAKERSFIELD & VICINITY",NULL,"Imagery available only in digital format",NULL,kern.jpg
223,502810,"SAN BERNARDINO","SAN BERNARDINO VALLEY AREA",NULL,NULL,NULL,san_bernardino.jpg
226,502667,"SAN BERNARDINO","SAN BERNARDINO VALLEY AREA",NULL,NULL,NULL,san_bernardino.jpg
227,502668,"SAN BERNARDINO","SAN BERNARDINO VALLEY AREA",NULL,NULL,NULL,san_bernardino.jpg
228,502452,"SAN DIEGO","CAMP PENDLETON",NULL,"Coastline only",NULL,san_diego.jpg
229,502376,"SAN DIEGO","CAMP PENDLETON",P,NULL,NULL,san_diego.jpg
230,503102,"SAN DIEGO","CAMP PENDLETON",P,"Partial Coverage",NULL,san_diego.jpg
240,502810,"SAN DIEGO","CAMP PENDLETON",NULL,NULL,NULL,san_diego.jpg
243,503154,"SAN DIEGO","CAMP PENDLETON",NULL,"Coastal only",NULL,san_diego.jpg
244,502667,"SAN DIEGO","CAMP PENDLETON",NULL,NULL,NULL,san_diego.jpg
247,502668,"SAN DIEGO","CAMP PENDLETON",NULL,NULL,NULL,san_diego.jpg
248,502417,"SAN DIEGO","CENTRAL COAST",P,"Oceanside, Carlsbad and Encinitas",NULL,san_diego.jpg
249,502450,"SAN DIEGO","CENTRAL COAST",NULL,"Oceanside to Del Mar. See index sheets ""AXN"".",NULL,san_diego.jpg
253,502376,"SAN DIEGO","CENTRAL COAST",P,NULL,NULL,san_diego.jpg
255,502425,"SAN DIEGO","CENTRAL COAST",NULL,"Oceanside to Mexico",NULL,san_diego.jpg
257,502529,"SAN DIEGO","CENTRAL COAST",P,"Partial Coverage",NULL,san_diego.jpg
1287,504655,VENTURA,"COASTAL VENTURA/OXNARD PLAIN",NULL,"Port Hueneme to Camarillo; Somis to Santa Susana",NULL,ventura.jpg
1299,502362,VENTURA,"LAKE CASITAS/OJAI VALLEY",P,NULL,NULL,ventura.jpg
262,503151,"SAN DIEGO","CENTRAL COAST",P,NULL,NULL,san_diego.jpg
1502,502709,"SAN DIEGO","CENTRAL COAST",NULL,NULL,NULL,san_diego.jpg
273,502667,"SAN DIEGO","CENTRAL COAST",NULL,NULL,NULL,san_diego.jpg
276,502668,"SAN DIEGO","CENTRAL COAST",NULL,NULL,NULL,san_diego.jpg
277,502376,"SAN DIEGO","ESCONDIDO & VICINITY",P,NULL,NULL,san_diego.jpg
281,503081,"SAN DIEGO","ESCONDIDO & VICINITY",P,NULL,NULL,san_diego.jpg
282,502529,"SAN DIEGO","ESCONDIDO & VICINITY",P,NULL,NULL,san_diego.jpg
285,502667,"SAN DIEGO","ESCONDIDO & VICINITY",NULL,NULL,NULL,san_diego.jpg
286,502668,"SAN DIEGO","ESCONDIDO & VICINITY",NULL,NULL,NULL,san_diego.jpg
289,502376,"SAN DIEGO","SAN DIEGO & VICINITY",P,NULL,NULL,san_diego.jpg
291,502425,"SAN DIEGO","SAN DIEGO & VICINITY",NULL,NULL,NULL,san_diego.jpg
292,502529,"SAN DIEGO","SAN DIEGO & VICINITY",P,NULL,NULL,san_diego.jpg
1288,506227,"LOS ANGELES","CHANNEL ISLANDS",NULL,NULL,NULL,los_angeles.jpg
306,503154,"SAN DIEGO","SAN DIEGO & VICINITY",NULL,"Partial Coverage",NULL,san_diego.jpg
307,502667,"SAN DIEGO","SAN DIEGO & VICINITY",NULL,"Partial Coverage",NULL,san_diego.jpg
308,502668,"SAN DIEGO","SAN DIEGO & VICINITY",NULL,NULL,NULL,san_diego.jpg
310,502357,"SAN LUIS OBISPO","SOUTH COUNTY",NULL,NULL,NULL,san_luis_obispo.jpg
312,502359,"SAN LUIS OBISPO","SOUTH COUNTY",P,NULL,NULL,san_luis_obispo.jpg
314,503009,"SAN LUIS OBISPO","SOUTH COUNTY",P,"Pictorial Coverage",NULL,san_luis_obispo.jpg
319,503046,"SAN LUIS OBISPO","SOUTH COUNTY",P,Nipomo,NULL,san_luis_obispo.jpg
321,503144,"SAN LUIS OBISPO","SOUTH COUNTY",P,"Shell Beach to Arroyo Grande",NULL,san_luis_obispo.jpg
323,502361,"SAN LUIS OBISPO","SOUTH COUNTY",P,NULL,NULL,san_luis_obispo.jpg
327,502338,"SAN LUIS OBISPO","SOUTH COUNTY",P,"Gaviota to Avila Beach",NULL,san_luis_obispo.jpg
332,502077,"SAN LUIS OBISPO","SOUTH COUNTY",NULL,NULL,NULL,san_luis_obispo.jpg
334,502804,"SAN LUIS OBISPO","SOUTH COUNTY",NULL,NULL,NULL,san_luis_obispo.jpg
336,502714,"SAN LUIS OBISPO","SOUTH COUNTY",NULL,"Partial Coverage",NULL,san_luis_obispo.jpg
339,502667,"SAN LUIS OBISPO","SOUTH COUNTY",NULL,NULL,NULL,san_luis_obispo.jpg
345,502668,"SAN LUIS OBISPO","SOUTH COUNTY",NULL,NULL,NULL,san_luis_obispo.jpg
346,502357,"SAN LUIS OBISPO","ATASCADERO & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
347,502359,"SAN LUIS OBISPO","ATASCADERO & VICINITY",P,NULL,NULL,san_luis_obispo.jpg
349,502360,"SAN LUIS OBISPO","ATASCADERO & VICINITY",P,NULL,NULL,san_luis_obispo.jpg
352,502361,"SAN LUIS OBISPO","ATASCADERO & VICINITY",P,NULL,NULL,san_luis_obispo.jpg
353,503116,"SAN LUIS OBISPO","ATASCADERO & VICINITY",P,Atascadero,NULL,san_luis_obispo.jpg
355,502078,"SAN LUIS OBISPO","ATASCADERO & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
356,502804,"SAN LUIS OBISPO","ATASCADERO & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
358,502607,"SAN LUIS OBISPO","ATASCADERO & VICINITY",P,NULL,NULL,san_luis_obispo.jpg
359,502667,"SAN LUIS OBISPO","ATASCADERO & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
362,502252,"SAN LUIS OBISPO","ATASCADERO & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
364,502668,"SAN LUIS OBISPO","ATASCADERO & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
366,502408,"SAN LUIS OBISPO","CARRIZO PLAIN & VICINITY",NULL,"Partial Coverage",NULL,san_luis_obispo.jpg
367,502359,"SAN LUIS OBISPO","CARRIZO PLAIN & VICINITY",P,NULL,NULL,san_luis_obispo.jpg
368,502360,"SAN LUIS OBISPO","CARRIZO PLAIN & VICINITY",P,NULL,NULL,san_luis_obispo.jpg
370,502361,"SAN LUIS OBISPO","CARRIZO PLAIN & VICINITY",P,NULL,NULL,san_luis_obispo.jpg
371,502804,"SAN LUIS OBISPO","CARRIZO PLAIN & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
373,502667,"SAN LUIS OBISPO","CARRIZO PLAIN & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
375,502668,"SAN LUIS OBISPO","CARRIZO PLAIN & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
379,503013,"SAN LUIS OBISPO","NORTH COAST",P,"Lake Nacimiento",NULL,san_luis_obispo.jpg
389,502357,"SAN LUIS OBISPO","LOS PADRES NATIONAL FOREST",NULL,"Partial Coverage",NULL,san_luis_obispo.jpg
390,502359,"SAN LUIS OBISPO","LOS PADRES NATIONAL FOREST",P,NULL,NULL,san_luis_obispo.jpg
391,502360,"SAN LUIS OBISPO","LOS PADRES NATIONAL FOREST",P,"Partial Coverage",NULL,san_luis_obispo.jpg
392,502575,"SAN LUIS OBISPO","LOS PADRES NATIONAL FOREST",P,NULL,NULL,san_luis_obispo.jpg
394,502801,"SAN LUIS OBISPO","LOS PADRES NATIONAL FOREST",P,NULL,NULL,san_luis_obispo.jpg
399,502667,"SAN LUIS OBISPO","LOS PADRES NATIONAL FOREST",NULL,NULL,NULL,san_luis_obispo.jpg
402,502252,"SAN LUIS OBISPO","LOS PADRES NATIONAL FOREST",NULL,"Partial Coverage",NULL,san_luis_obispo.jpg
404,502668,"SAN LUIS OBISPO","LOS PADRES NATIONAL FOREST",NULL,NULL,NULL,san_luis_obispo.jpg
405,502357,"SAN LUIS OBISPO","MORRO BAY & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
407,502359,"SAN LUIS OBISPO","MORRO BAY & VICINITY",P,NULL,NULL,san_luis_obispo.jpg
408,503005,"SAN LUIS OBISPO","MORRO BAY & VICINITY",P,"See Index Sheet 2",NULL,san_luis_obispo.jpg
411,502361,"SAN LUIS OBISPO","MORRO BAY & VICINITY",P,NULL,NULL,san_luis_obispo.jpg
414,503060,"SAN LUIS OBISPO","MORRO BAY & VICINITY",P,"Morro Bay and Los Osos",NULL,san_luis_obispo.jpg
417,502108,"SAN LUIS OBISPO","MORRO BAY & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
419,502804,"SAN LUIS OBISPO","MORRO BAY & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
422,502607,"SAN LUIS OBISPO","MORRO BAY & VICINITY",P,NULL,NULL,san_luis_obispo.jpg
423,502667,"SAN LUIS OBISPO","MORRO BAY & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
426,502252,"SAN LUIS OBISPO","MORRO BAY & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
