flight_loc_country_id,holding_id,country_id
19178,502547,1
5899,502548,1
8841,502549,1
6507,502550,1
5902,502551,1
6508,502552,1
13179,502553,1
5905,502554,1
19597,502555,1
19471,502556,1
20724,502557,1
19522,502558,1
21015,502559,1
19744,502560,1
19607,502561,1
5913,502562,1
5914,502563,1
19599,502564,1
5916,502565,1
6535,502566,1
5918,502567,1
5919,502568,1
5920,502569,1
19286,502570,1
20099,502571,1
7874,502572,1
5926,502573,1
5928,502574,1
5929,502575,1
5930,502576,1
5931,502577,1
7319,502578,1
7559,502579,1
18474,508921,1
5935,502581,1
9459,502582,1
5937,502583,1
5938,502584,1
9571,502585,1
5940,502586,1
6511,502587,1
5941,502588,1
5942,502589,1
5943,502590,1
5944,502591,1
6514,502592,1
6515,502593,1
6516,502594,1
6517,502595,1
5949,502596,1
5950,502597,1
5951,502598,1
6518,502599,1
6519,502600,1
6520,502601,1
6521,502602,1
6523,502603,1
6525,502604,1
21027,502605,1
5961,502606,1
6527,502607,1
20134,502608,1
6529,502609,1
21172,502610,1
6531,502611,1
6532,502612,1
5968,502613,1
5970,502614,1
5971,502615,1
5972,502616,1
10186,502617,1
10309,502618,1
599,502619,1
20698,502620,1
5978,502621,1
7499,502622,1
14172,502623,1
17565,502624,1
6412,502625,1
6414,502626,1
6422,502627,1
7992,502628,1
20183,502629,1
7456,502630,1
6432,502631,1
612,502632,1
9595,502633,1
6436,502634,1
9401,502635,1
616,502636,1
9628,502637,1
13264,502638,1
15599,502639,1
7774,502640,1
9804,502641,1
622,502642,1
623,502643,1
6109,502644,1
625,502645,1
626,502646,1
6216,502647,1
6234,502648,1
6323,502653,1
7393,502654,1
6324,502655,1
5092,502656,1
17077,502657,1
634,502658,1
7260,502659,1
6330,502661,1
6332,502662,1
3204,502663,1
6333,502664,1
6334,502665,1
4257,502666,1
20673,502667,1
18588,502668,1
4159,502669,1
4160,502670,1
4161,502671,1
17843,502672,1
648,502673,1
649,502674,1
650,502675,1
4164,502676,1
652,502677,1
5858,502678,1
654,502679,1
655,502680,1
4167,502681,1
657,502682,1
658,502683,1
659,502684,1
660,502685,1
661,502686,1
662,502687,1
6335,502688,1
664,502689,1
665,502690,1
4169,502691,1
667,502692,1
668,502693,1
4171,502694,1
670,502695,1
671,502696,1
672,502697,1
673,502698,1
6336,502699,1
675,502700,1
4172,502701,1
4173,502702,1
4174,502703,1
4176,502704,1
680,502705,1
4177,502706,1
682,502707,1
4179,502708,1
684,502709,1
6341,502711,1
6342,502712,1
21113,502713,1
9416,502714,1
17657,502715,1
6346,502716,1
17242,502717,1
7132,502720,1
10320,502721,1
4326,502722,1
7137,502723,1
696,502724,1
15744,502726,1
11805,502727,1
